time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-30 17:36:45.647000,,,,,45405
2022-12-30 17:36:46.191000,119.02,,8795961,,
2022-12-30 17:36:46.703000,,119.03,8796065,,45406
2022-12-30 17:36:47.233000,119.01,119.02,8796529,,
2022-12-30 17:36:47.770000,,,,,45407
2022-12-30 17:36:48.310000,,,8796539,,
2022-12-30 17:36:48.849000,119,119.01,8798551,,45408
2022-12-30 17:36:49.920000,,,8798553,,45409
2022-12-30 17:36:50.447000,,,8799169,,45410
2022-12-30 17:36:50.956000,,119.02,8799469,,
2022-12-30 17:36:51.473000,119.01,,8799512,,45411
2022-12-30 17:36:52.516000,,,8799612,,45412
2022-12-30 17:36:53.545000,,,8799642,,45413
2022-12-30 17:36:54.061000,119,,8799643,,
2022-12-30 17:36:54.598000,119.01,119.03,8800003,,45414
2022-12-30 17:36:55.099000,119.02,,,,
2022-12-30 17:36:55.640000,119.01,,,,45415
2022-12-30 17:36:56.698000,,,8800046,,45416
2022-12-30 17:36:57.218000,119.02,,,,
2022-12-30 17:36:58.273000,,,8800146,,
2022-12-30 17:36:58.774000,119.03,119.04,8800542,,45418
2022-12-30 17:36:59.826000,,,8800682,,
2022-12-30 17:37:00.342000,,,8804963,,45420
2022-12-30 17:37:00.866000,119.01,,8805341,,
2022-12-30 17:37:02.047000,,119.03,8805342,,45421
2022-12-30 17:37:02.577000,,119.02,8805363,,45422
2022-12-30 17:37:03.117000,119.02,119.04,8805874,,
2022-12-30 17:37:04.149000,,,8806033,,
2022-12-30 17:37:04.659000,,,8806041,,
2022-12-30 17:37:05.720000,,,8806050,,45425
2022-12-30 17:37:06.242000,,119.05,8806307,,
2022-12-30 17:37:06.758000,,119.04,,,45426
2022-12-30 17:37:07.261000,,,8806308,,
2022-12-30 17:37:07.796000,,,8806408,,45427
2022-12-30 17:37:08.337000,119.01,119.03,8806778,,45428
2022-12-30 17:37:08.885000,,119.04,,,
2022-12-30 17:37:09.430000,,,8806879,,
2022-12-30 17:37:09.938000,,119.03,8806954,,45429
2022-12-30 17:37:10.994000,,,8807731,,45430
